date,max_temp,rain_sum,is_heavy_rain,is_hot_day
2025-11-15,31.1,0.0,0,0
2025-11-16,29.5,21.7,1,0
2025-11-17,28.5,11.9,1,0
2025-11-18,30.1,10.1,1,0
2025-11-19,31.2,23.2,1,0
2025-11-20,29.0,0.6,0,0
2025-11-21,29.5,0.3,0,0
2025-11-22,27.6,2.7,0,0
2025-11-23,31.0,4.4,0,0
2025-11-24,31.9,1.2,0,0
2025-11-25,31.6,0.0,0,0
2025-11-26,31.0,0.0,0,0
2025-11-27,30.6,0.0,0,0
2025-11-28,29.2,0.0,0,0
2025-11-29,31.5,0.0,0,0
2025-11-30,33.0,0.6,0,0
2025-12-01,34.2,0.1,0,0
2025-12-02,33.4,5.3,0,0
2025-12-03,31.4,29.1,1,0
2025-12-04,29.9,9.3,0,0
2025-12-05,31.1,0.8,0,0
2025-12-06,30.8,0.3,0,0
2025-12-07,31.1,0.4,0,0
2025-12-08,30.5,0.0,0,0
2025-12-09,31.6,0.1,0,0
2025-12-10,31.0,13.1,1,0
2025-12-11,31.1,8.0,0,0
2025-12-12,31.5,0.0,0,0
2025-12-13,32.0,15.9,1,0
2025-12-14,31.7,0.1,0,0
2025-12-15,33.1,0.0,0,0
2025-12-16,34.0,0.3,0,0
2025-12-17,33.7,0.7,0,0
2025-12-18,32.7,0.5,0,0
2025-12-19,33.7,0.3,0,0
2025-12-20,33.4,0.4,0,0
2025-12-21,34.5,0.2,0,0
2025-12-22,33.9,1.0,0,0
2025-12-23,33.2,0.8,0,0
2025-12-24,33.3,7.1,0,0
2025-12-25,31.3,26.7,1,0
2025-12-26,30.6,1.6,0,0
2025-12-27,30.2,0.7,0,0
2025-12-28,31.0,0.0,0,0
2025-12-29,31.1,0.0,0,0
2025-12-30,30.5,0.0,0,0
2025-12-31,31.1,0.0,0,0
